group	row	startCol	endCol	startRef	sourceRange	rawTitle
412	24	68	75	BP24	BP24:BW24	"Менеджмент в *\r\nздравоохранении"
412	24	78	82	BZ24	BZ24:CD24	"Офтальмология"
412	24	83	87	CE24	CE24:CI24	"Урология"
412	24	88	91	CJ24	CJ24:CM24	"Факультет.\r\nхирургия"
412	24	92	92	CN24	CN24	"М"
413	25	3	7	C25	C25:G25	"Урология"
413	25	8	11	H25	H25:K25	"Факультет.\r\nхирургия"
413	25	12	16	L25	L25:P25	"Офтальмология"
413	25	17	29	Q25	Q25:AC25	"Оториноларингология"
413	25	30	41	AD25	AD25:AO25	"Акушерство и гинекология"
413	25	44	53	AR25	AR25:BA25	"Неврология, нейрохирургия "
413	25	54	59	BB25	BB25:BG25	"Психиатрия, МП"
413	25	60	75	BH25	BH25:BW25	"Факультетская терапия,\r\nпрофессиональные  болезни"
413	25	78	84	BZ25	BZ25:CF25	"Менеджмент в \r\nздравоохранении"
413	25	85	92	CG25	CG25:CN25	"Педиатрия"
413	25	93	93	CO25	CO25	"М"
414	26	3	7	C26	C26:G26	"Урология"
414	26	8	11	H26	H26:K26	"Факультет.\r\nхирургия"
414	26	12	16	L26	L26:P26	"Офтальмология"
414	26	17	29	Q26	Q26:AC26	"Оториноларингология"
414	26	30	41	AD26	AD26:AO26	"Акушерство и гинекология"
414	26	44	53	AR26	AR26:BA26	"Неврология, нейрохирургия *"
414	26	54	59	BB26	BB26:BG26	"Психиатрия, МП"
414	26	60	75	BH26	BH26:BW26	"Факультетская терапия,\r\nпрофессиональные  болезни"
414	26	78	84	BZ26	BZ26:CF26	"Менеджмент в \r\nздравоохранении"
414	26	85	92	CG26	CG26:CN26	"Педиатрия"
414	26	93	93	CO26	CO26	"М"
415	27	3	7	C27	C27:G27	"Офтальмология"
415	27	8	12	H27	H27:L27	"Урология"
415	27	13	16	M27	M27:P27	"Факультет.\r\nхирургия"
415	27	17	28	Q27	Q27:AB27	"Акушерство и гинекология"
415	27	30	42	AD27	AD27:AP27	"Оториноларингология"
415	27	44	49	AR27	AR27:AW27	"Психиатрия, МП"
415	27	50	59	AX27	AX27:BG27	"Неврология, нейрохирургия "
415	27	60	75	BH27	BH27:BW27	"Факультетская терапия,\r\nпрофессиональные  болезни"
415	27	78	84	BZ27	BZ27:CF27	"Педиатрия"
415	27	85	92	CG27	CG27:CN27	"Менеджмент в \r\nздравоохранении"
415	27	93	93	CO27	CO27	"М"
416	28	3	7	C28	C28:G28	"Офтальмология"
416	28	8	12	H28	H28:L28	"Урология"
416	28	13	16	M28	M28:P28	"Факультет.\r\nхирургия"
416	28	17	28	Q28	Q28:AB28	"Акушерство и гинекология"
416	28	30	42	AD28	AD28:AP28	"Оториноларингология"
416	28	44	49	AR28	AR28:AW28	"Психиатрия, МП"
416	28	50	59	AX28	AX28:BG28	"Неврология, нейрохирургия "
416	28	60	75	BH28	BH28:BW28	"Факультетская терапия,\r\nпрофессиональные  болезни"
416	28	78	84	BZ28	BZ28:CF28	"Педиатрия"
416	28	85	92	CG28	CG28:CN28	"Менеджмент в *\r\nздравоохранении"
416	28	93	93	CO28	CO28	"М"
417	29	3	10	C29	C29:J29	"Менеджмент в \r\nздравоохранении"
417	29	11	18	K29	K29:R29	"Педиатрия"
417	29	19	23	S29	S29:W29	"Урология"
417	29	24	27	X29	X29:AA29	"Факультет.\r\nхирургия"
417	29	28	32	AB29	AB29:AF29	"Офтальмология"
417	29	33	33	AG29	AG29	"М"
417	29	34	46	AH29	AH29:AT29	"Оториноларингология"
417	29	47	58	AU29	AU29:BF29	"Акушерство и гинекология"
417	29	60	69	BH29	BH29:BQ29	"Неврология, нейрохирургия "
417	29	70	75	BR29	BR29:BW29	"Психиатрия, МП"
417	29	78	92	BZ29	BZ29:CN29	"Факультетская терапия, проф. болезни"
418	30	3	10	C30	C30:J30	"Менеджмент в \r\nздравоохранении"
418	30	11	18	K30	K30:R30	"Педиатрия"
418	30	19	23	S30	S30:W30	"Урология"
418	30	24	27	X30	X30:AA30	"Факультет.\r\nхирургия"
418	30	28	32	AB30	AB30:AF30	"Офтальмология"
418	30	33	33	AG30	AG30	"М"
418	30	34	46	AH30	AH30:AT30	"Оториноларингология"
418	30	47	58	AU30	AU30:BF30	"Акушерство и гинекология"
418	30	60	69	BH30	BH30:BQ30	"Неврология, нейрохирургия *"
418	30	70	75	BR30	BR30:BW30	"Психиатрия, МП"
418	30	78	92	BZ30	BZ30:CN30	"Факультетская терапия, проф. болезни"
419	31	3	10	C31	C31:J31	"Педиатрия"
419	31	11	18	K31	K31:R31	"Менеджмент в \r\nздравоохранении"
419	31	19	23	S31	S31:W31	"Офтальмология"
419	31	24	28	X31	X31:AB31	"Урология"
419	31	29	32	AC31	AC31:AF31	"Факультет.\r\nхирургия"
419	31	33	44	AG31	AG31:AR31	"Акушерство и гинекология"
419	31	45	45	AS31	AS31	"М"
419	31	46	58	AT31	AT31:BF31	"Оториноларингология"
419	31	60	65	BH31	BH31:BM31	"Психиатрия, МП"
419	31	66	75	BN31	BN31:BW31	"Неврология, нейрохирургия "
419	31	78	92	BZ31	BZ31:CN31	"Факультетская терапия, проф. болезни"
420	32	3	10	C32	C32:J32	"Педиатрия"
420	32	11	18	K32	K32:R32	"Менеджмент в *\r\nздравоохранении"
420	32	19	23	S32	S32:W32	"Офтальмология"
420	32	24	28	X32	X32:AB32	"Урология"
420	32	29	32	AC32	AC32:AF32	"Факультет.\r\nхирургия"
420	32	33	44	AG32	AG32:AR32	"Акушерство и гинекология"
420	32	45	45	AS32	AS32	"М"
420	32	46	58	AT32	AT32:BF32	"Оториноларингология"
420	32	60	65	BH32	BH32:BM32	"Психиатрия, МП"
420	32	66	75	BN32	BN32:BW32	"Неврология, нейрохирургия "
420	32	78	92	BZ32	BZ32:CN32	"Факультетская терапия, проф. болезни"
